stock_id,symbol,isin,first_seen
9757,BLIL,INE525F01025,2026-09-07
213,BLISSGVS,INE416D01022,2026-09-07
214,BLKASHYAP,INE350H01032,2026-09-07
215,BLS,INE153T01027,2026-09-07
9347,BLSE,INE0NLT01010,2026-09-07
10683,BLUECHIP,INE657B01025,2026-09-07
10531,BLUECLOUDS,INE373T01047,2026-09-07
11620,BLUECOAST,INE472B01011,2026-09-07
216,BLUEDART,INE233B01017,2026-09-07
9720,BLUEJET,INE0KBH01020,2026-09-07
217,BLUESTARCO,INE472A01039,2026-09-07
9416,BLUESTONE,INE304W01038,2026-09-07
10059,BLUSPRING,INE0U4101014,2026-09-07
11611,BMWVENTLTD,INE965W01036,2026-09-07
9350,BNAGROCHEM,INE00HZ01011,2026-09-07
10413,BNALTD,INE489D01011,2026-09-07
1582667,BNKETFAXIS,,2026-09-07
218,BODALCHEM,INE338D01028,2026-09-07
10998,BOHRAIND,INE802W01023,2026-09-07
219,BOMDYEING,INE032A01023,2026-09-07
11682,BONLON,INE0B9A01018,2026-09-07
9328,BORANA,INE16SF01016,2026-09-07
10792,BOROLTD,INE02PY01013,2026-09-07
1767,BORORENEW,INE666D01022,2026-09-07
11016,BOROSCI,INE02L001032,2026-09-07
1696544,BOROSIL,,2026-09-07
9307,BOSCH-HCIL,INE782A01015,2026-09-07
220,BOSCHLTD,INE323A01026,2026-09-07
221,BPCL,INE029A01011,2026-09-07
222,BPL,INE110A01019,2026-09-07
9880,BPLPHARMA,INE365Y01019,2026-09-07
11344,BRAHMINFRA,INE320I01017,2026-09-07
223,BRFL,,2026-09-07
224,BRIGADE,INE791I01019,2026-09-07
9843,BRIGHOTEL,INE03NU01014,2026-09-07
10259,BRIGHTBR,INE630D01010,2026-09-07
225,BRITANNIA,INE216A01030,2026-09-07
226,BRNL,INE727S01012,2026-09-07
227,BROOKS,INE650L01011,2026-09-07
228,BSE,INE118H01025,2026-09-07
225414,BSE500IETF,,2026-09-07
1770286,BSELINFRA,,2026-09-07
11205,BSHSL,INE032Z01020,2026-09-07
229,BSL,INE594B01012,2026-09-07
230,BSLGOLDETF,,2026-09-07
231,BSLNIFTY,,2026-09-07
12085,BSLSENETFG,,2026-09-07
232,BSOFT,INE836A01035,2026-09-07
10635,BTML,INE0EEJ01023,2026-09-07
11502,BTTL,INE274K01012,2026-09-07
